epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,194.949,3.42375,0.50712,0.80342,2.69911,8.2906e-05,8.2906e-05,8.2906e-05
2,438.28,2.3943,0.77778,0.97436,1.03281,0.00015801,0.00015801,0.00015801
3,1224.16,1.41018,0.83476,0.99145,0.50627,0.000224865,0.000224865,0.000224865
4,1555.56,1.00922,0.88034,0.9886,0.36348,0.000212875,0.000212875,0.000212875
5,1887.37,0.8428,0.89174,0.99145,0.28933,0.0002005,0.0002005,0.0002005
6,3266.23,0.74138,0.90028,0.9943,0.27368,0.000188125,0.000188125,0.000188125
7,4255.19,0.67597,0.92023,0.9943,0.22509,0.00017575,0.00017575,0.00017575
8,5336.57,0.62171,0.91168,0.9943,0.21764,0.000163375,0.000163375,0.000163375
9,5521.38,0.56554,0.92593,0.99145,0.216,0.000151,0.000151,0.000151
10,5708.18,0.55542,0.92877,0.99715,0.20139,0.000138625,0.000138625,0.000138625
11,9678.81,0.52178,0.93447,0.99715,0.191,0.00012625,0.00012625,0.00012625
12,9849.36,0.50408,0.93447,0.9943,0.18562,0.000113875,0.000113875,0.000113875
13,10031.5,0.48832,0.93732,0.99715,0.17385,0.0001015,0.0001015,0.0001015
14,10216.8,0.45263,0.93732,0.9943,0.1677,8.9125e-05,8.9125e-05,8.9125e-05
15,10656.3,0.42603,0.94302,0.99715,0.16628,7.675e-05,7.675e-05,7.675e-05
16,10830.4,0.43381,0.94017,0.99715,0.16704,6.4375e-05,6.4375e-05,6.4375e-05
17,11016.3,0.43081,0.93732,0.9943,0.16092,5.2e-05,5.2e-05,5.2e-05
18,11546.8,0.41116,0.94017,0.9943,0.16531,3.9625e-05,3.9625e-05,3.9625e-05
19,11738.6,0.43626,0.93732,0.9943,0.16807,2.725e-05,2.725e-05,2.725e-05
20,11925.2,0.40882,0.93447,0.9943,0.16309,1.4875e-05,1.4875e-05,1.4875e-05
